"#","Company","Contact","City","Phone","Email","Website","Status","Notes"
"60","Alba Energy","Alba Energy","San Antonio","(210) 571-0311","info@albaenergy.com","http://albaenergy.com/","not_called",""
"61","Solar Edge Pros","Solar Edge Pros","San Antonio","(210) 401-9030","info@solaredgepros.com","https://solaredgepros.com/","not_called",""
"62","Aptos Solar Technology","Aptos Solar Technology","San Antonio","(949) 932-0733","info@aptossolar.com","http://www.aptossolar.com/","not_called",""
"63","Green Star EV and Solar Solutions","Green Star EV and Solar Solutions","San Antonio","(830) 438-3396","info@greenstarevandsolarsolutions.com","https://www.greenstarsolarsolutions.com/","not_called",""
"64","Solar Innovation Experts San Antonio","Solar Innovation Experts San Antonio","San Antonio","(726) 204-0230","","","not_called",""
"65","Freedom Forever","Freedom Forever","San Antonio","(888) 557-6431","info@freedomforever.com","https://www.freedomforever.com/","not_called",""
"66","Greentech Renewables San Antonio","Greentech Renewables San Antonio","San Antonio","(210) 988-2045","hello@greentechrenewables.com","https://www.greentechrenewables.com/location/san-antonio-tx","not_called",""
"67","Will Power Solar","Will Power Solar","San Antonio","(210) 446-9879","info@willpowersolarllc.com","https://www.willpowersolarllc.com/","not_called",""
"68","Greenstar Power LLC","Greenstar Power LLC","San Antonio","(512) 291-7571","info@greenstarpower.com","https://www.greenstarpower.com/sanantonio-tx","not_called",""
"69","Prodigy Solar","Prodigy Solar","San Antonio","(210) 905-4445","info@prodigysolartx.com","https://prodigysolartx.com/","not_called",""
"70","Solar Electric Texas","Solar Electric Texas","San Antonio","(210) 802-4222","info@solarelectrictexastx.hibuwebsites.com","https://solarelectrictexastx.hibuwebsites.com/","not_called",""
"71","Solar Electrics Texas","Solar Electrics Texas","San Antonio","(828) 515-1800","info@solarelectricstexas.com","http://www.solarelectricstexas.com/","not_called",""
"72","CAM Solar","CAM Solar","San Antonio","(210) 227-3456","info@gocamsolar.com","https://www.gocamsolar.com/","not_called",""
"73","Five Star Solar","Five Star Solar","San Antonio","(214) 551-4648","info@gurrbrothersenergy.com","https://gurrbrothersenergy.com/san-antonio","not_called",""
"74","Sustainable Roofing & Solar","Sustainable Roofing & Solar","San Antonio","(210) 900-1999","info@sustainableroof.com","https://sustainableroof.com/","not_called",""
"75","South Texas Solar Systems","South Texas Solar Systems","San Antonio","(210) 829-5420","info@txsolarsystems.com","https://txsolarsystems.com/","not_called",""
"76","Sunlit Solar San Antonio","Sunlit Solar San Antonio","San Antonio","(833) 435-3745","","","not_called",""
"77","Green Energy of San Antonio","Green Energy of San Antonio","San Antonio","(210) 310-3371","info@greenenergyofsanantonio.com","https://www.greenenergyofsanantonio.com/","not_called",""
"78","Critter Shield","Critter Shield","San Antonio","(210) 314-1177","","","not_called",""
"79","Ecolectrics LLC","Ecolectrics LLC","San Antonio","(210) 987-2640","info@ecolectricsusa.com","http://www.ecolectricsusa.com/","not_called",""
"80","All Points Roof & Solar","All Points Roof & Solar","San Antonio","(210) 507-2225","","","not_called",""
"81","San Antonio Solar Systems","San Antonio Solar Systems","San Antonio","(726) 256-6202","","","not_called",""
"82","Rhino Roofers: San Antonio Roofing Company","Rhino Roofers: San Antonio Roofing Company","San Antonio","(210) 756-2834","info@rhinoroofers.com","https://rhinoroofers.com/","not_called",""
"83","Go Solar San Antonio","Go Solar San Antonio","San Antonio","(210) 718-5658","gabe@gosolarsanantonio.co","https://gosolarsanantonio.co/","not_called",""
"84","ETW Energy, LLC","ETW Energy, LLC","San Antonio","(210) 201-4453","","","not_called",""
"85","POM Solar Energy","POM Solar Energy","San Antonio","(210) 782-0291","","","not_called",""
"86","ARP Roofing & Remodeling","ARP Roofing & Remodeling","San Antonio","(210) 714-0040","info@arproofing.com","https://arproofing.com/san-antonio-roofing-contractor/?utm_source=GBP","not_called",""
"87","ALPHA SOLAR SOLUTIONS, LLC","ALPHA SOLAR SOLUTIONS, LLC","San Antonio","(210) 783-0507","info@alphasolarsa.com","http://www.alphasolarsa.com/","not_called",""
"88","Texas Solar Screens","Texas Solar Screens","San Antonio","(210) 777-3003","info@texassolarscreensllc.com","https://texassolarscreensllc.com/?utm_source=gbp&utm_medium=webclick","not_called",""
"89","Limitless Energy Pros","Limitless Energy Pros","San Antonio","(210) 951-9786","info@limitlessenergypros.com","http://limitlessenergypros.com/","not_called",""
"90","Charger Roofing LLC","Charger Roofing LLC","San Antonio","(210) 305-7663","Sales@Charger-Roofing.com","http://www.charger-roofing.com/","not_called",""
"91","Engel Electric","Engel Electric","San Antonio","(210) 897-6527","info@engelelectrictx.com","http://engelelectrictx.com/","not_called",""
"92","Choose The Right Solar","Choose The Right Solar","San Antonio","(833) 510-2877","","","not_called",""
"93","Smart Renewables of Texas LLC","Smart Renewables of Texas LLC","San Antonio","(210) 465-1021","info@smartsolartx.com","https://smartsolartx.com/","not_called",""
"94","Alamo Smart Home","Alamo Smart Home","San Antonio","(210) 625-6575","info@alamosmarthome.com","https://alamosmarthome.com/","not_called",""
"95","EcoGen America","EcoGen America","San Antonio","(888) 294-5764","info@ecogenamerica.com","https://ecogenamerica.com/residential/tx/san-antonio/","not_called",""
"96","StarPoint Group","StarPoint Group","San Antonio","(888) 831-9690","support@starpointgroup.us","https://www.starpointgroup.us/","not_called",""
"97","Solar Electric Texas","Solar Electric Texas","San Antonio","(737) 379-9295","info@solarelectrictexas.com","http://www.solarelectrictexas.com/","not_called",""
"98","One80 Solar","One80 Solar","San Antonio","(210) 802-7428","info@one80solar.com","http://one80solar.com/","not_called",""
"99","LOA Roofing and Construction","LOA Roofing and Construction","San Antonio","(713) 396-3951","info@loaconstruction.com","https://www.loaconstruction.com/san-antonio/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-sanantonio","not_called",""
"100","Go Solar Power","Go Solar Power","San Antonio","(800) 530-9597","info@gosolarpower.com","https://www.gosolarpower.com/locations/san-antonio-tx/?utm_source=google&utm_medium=gbp&utm_campaign=san_antonio","not_called",""
"101","Set apart solar","Set apart solar","Austin","(319) 333-4445","info@setapartsolar.durablesites.com","http://setapartsolar.durablesites.com/","not_called",""
"102","Texas Solar Power Company","Texas Solar Power Company","Austin","(512) 459-9494","info@txspc.com","http://www.txspc.com/","not_called",""
"103","Sol Tech Roofing & Solar","Sol Tech Roofing & Solar","Austin","(512) 987-8968","info@soltecsolar.com","http://soltecsolar.com/","not_called",""
"104","ATX Solar","ATX Solar","Austin","(512) 803-9652","info@goatxsolar.com","https://www.goatxsolar.com/","not_called",""
"105","Austin Discount Solar","Austin Discount Solar","Austin","(512) 968-7070","Kevin@austindiscountsolar.com","http://www.austindiscountsolar.com/","not_called",""
"106","Clearly","Clearly","Austin","(512) 525-8673","","","not_called",""
"107","Solar Efficiency Experts Austin","Solar Efficiency Experts Austin","Austin","(512) 649-9050","","","not_called",""
"108","Energy Experts Solar of Austin","Energy Experts Solar of Austin","Austin","(512) 649-9287","","","not_called",""
"109","Nation Solar inc.","Nation Solar inc.","Austin","(512) 379-8332","info@info.nationsolar.co","https://info.nationsolar.co/SLP?utm_source=organic&utm_medium=gmb&utm_campaign=1seo_organic_gmb","not_called",""
"110","Bright Energy Texas","Bright Energy Texas","Austin","(512) 518-5771","info@brightenergytexas.com","https://brightenergytexas.com/","not_called",""
"111","Solar Service","Solar Service","Austin","(512) 537-0459","hello@solarservice-tx.com","https://solarservice-tx.com/","not_called",""
"112","Solar Brothers, LLC | Solar Installation & Hardware","Solar Brothers, LLC | Solar Installation & Hardware","Austin","(512) 759-8690","","","not_called",""
"113","Smart Solar Systems","Smart Solar Systems","Austin","(512) 489-7854","","","not_called",""
"114","Koala Solar","Koala Solar","Austin","(737) 299-0926","info@koalasolar.com","https://koalasolar.com/","not_called",""
"115","Optimum Solar USA","Optimum Solar USA","Austin","(512) 489-0044","sales@optimumsolarusa.com","https://optimumsolarusa.com/","not_called",""
"116","Crimson Solar","Crimson Solar","Austin","(512) 552-7257","operations@crimson-solar.com","http://crimson-solar.com/","not_called",""
"117","Prism Solar","Anthony Fernandez","Austin","(202) 891-4674","","","not_called",""
"118","Austin Energy","Christopher Johnson","Austin","(512) 494-9400","","","not_called",""
"119","Orange Fox, LLC","Ben Flynn","Austin","(512) 488-1120","info@orangefoxrenewables.com","https://orangefoxrenewables.com","not_called",""
"120","Tesla","Aaron Dugan","Austin","(512) 516-8177","press@tesla.com","https://tesla.com","not_called",""
"121","JRay Electrical","Justin Reynolds","Austin","(512) 981-8215","","","not_called",""
"122","Abdur Rahman","Abdur Rahman","Austin","(512) 563-3913","","","not_called",""
"123","Freedom Solar","Chadwyck Preece","Austin","(512) 759-8313","customerservice@freedomsolarpower.com","www.freedomsolarpower.com","not_called",""
"124","Plainsman Engineering","Ashley Monroe","Austin","(512) 454-8711","","","not_called",""
"125","Longhorn Solar","Jean Ewusi","Austin","(512) 837-4800","contact@longhornsolar.com","https://longhornsolar.com","not_called",""
"126","Texas Solar","Dylan Reil","Austin","(512) 803-9652","info@etcsolar.com","http://etcsolar.com","not_called",""
"127","NATPRE Solar","Derek Evans","Austin","(512) 379-8332","info@natpresolar.com","https://natpresolar.com","not_called",""
"128","Native Solar, LLC","Erik Karr","Austin","(855) 234-3131","info@nativesolar.com","www.nativesolar.com/","not_called",""
"129","Tesla","Terence Hooper","Austin","(512) 516-8177","info@thenehues.com","https://thenehues.com","not_called",""
"130","Gordan Gure","Gordan Gure","Austin","(512) 678-9333","","","not_called",""
"131","Longhorn Solar","Jameason Dillon","Austin","(512) 837-4800","contact@longhornsolar.com","https://longhornsolar.com","not_called",""
"132","512 Solar","Michael Novak","Austin","(512) 329-2117","info@512solar.com","512Solar.com","not_called",""
"133","Walsh Solar & Electrical Services","Nicholas Hayes","Austin","(817) 861-6933","","","not_called",""
"134","Jacob Parz","Jacob Parz","Austin","(512) 314-3100","","","not_called",""
"135","Axis Solar","Axis Solar","Austin","(512) 501-4084","Help@axis-solar.com","http://axis-solar.com/","not_called",""
"136","Green Planet Solutions","Green Planet Solutions","Austin","(512) 866-6968","","","not_called",""
"137","Trident Renewables","Trident Renewables","Austin","(512) 781-8156","info@tridentrenewables.co","http://tridentrenewables.co/","not_called",""
"138","Cool Solar - Austin Texas Solar Panel Power","Cool Solar - Austin Texas Solar Panel Power","Austin","(512) 883-4407","jb@coolsolarpower.co","https://coolsolarpower.co/","not_called",""
"139","PEP Solar llc","PEP Solar llc","Austin","(512) 535-7676","info@pepsolar.com","https://www.pepsolar.com/about-us","not_called",""
"140","Alba Energy","Alba Energy","Austin","(800) 238-3112","info@albaenergy.com","http://albaenergy.com/","not_called",""
"141","SolarOn Services","SolarOn Services","Austin","(512) 299-6000","Info@SolarOnServices.com","https://www.solaronservices.com/","not_called",""
"142","The American Power Company","The American Power Company","Austin","(737) 900-1980","info@powerbacktothepeople.com","http://www.powerbacktothepeople.com/","not_called",""
"143","Greenbelt Solar","Greenbelt Solar","Austin","(512) 750-1478","info@greenbeltsolar.com","http://www.greenbeltsolar.com/","not_called",""
"144","HAR Renewables","Matthew Dunaway","Austin","(512) 921-6763","info@harrenewables.com","https://harrenewables.com","not_called",""
"145","John Williams","John Williams","Austin","(512) 451-5511","","","not_called",""
"146","Enpower Off-Grid","Clayton Parker","Austin","(737) 379-9299","info@empoweroffgrid.com","www.empoweroffgrid.com","not_called",""
"147","Ecoelectrics, LLC","Chirag Patel","Austin","(512) 717-0660","info@ecoelectrictxusa.com","www.ecoelectrictxusa.com","not_called",""
"148","EnergyRey LLC.","EnergyRey LLC.","Austin","(737) 206-0457","Info@EnergyReyTX.com","https://energyreytx.com/","not_called",""
"149","Freedom Solar Power - Austin Solar Panel Company & Installers","Freedom Solar Power - Austin Solar Panel Company & Installers","Austin","(512) 759-8313","customerservice@freedomsolarpower.com","https://freedomsolarpower.com/locations/austin-solar-company?utm_source=gmb&utm_medium=organic","not_called",""
"150","Now Energy LLC","Now Energy LLC","Austin","(866) 227-1352","info@nowenergyllc.com","https://www.nowenergyllc.com/","not_called",""
"151","Easy Simple Solar","Easy Simple Solar","Austin","(512) 200-9444","info@easysimple.solar","https://easysimple.solar/","not_called",""
"152","Hans Maggio","Hans Maggio","Dallas","(832) 280-8838","","","not_called",""
"153","Michael Lafiectis","Michael Lafiectis","Dallas","(469) 227-9333","info@mileskoldelectricalservice.com","www.mileskoldelectricalservice.com/","not_called",""
"154","Yagnew Manengenegle","Yagnew Manengenegle","Dallas","(214) 894-5040","info@g4electronics.com","https://g4electronics.com/","not_called",""
"155","Clean Power Store","Clean Power Store","Dallas","(214) 915-8802","info@cleanpowerstore.com","https://cleanpowerstore.com/","not_called",""
"156","Custom Pro Roofing and solar","Custom Pro Roofing and solar","Dallas","(229) 264-4313","Support@custompro.us","https://custompro.us/","not_called",""
"157","SLE Green Energy, LLC","SLE Green Energy, LLC","Dallas","(469) 776-9200","info@slegreenenergy.com","https://www.slegreenenergy.com/","not_called",""
"158","Proclaim Solar LLC","Proclaim Solar LLC","Dallas","(972) 984-7663","info@proclaimsolar.com","http://www.proclaimsolar.com/","not_called",""
"159","Diamond Solar USA","Diamond Solar USA","Dallas","(214) 214-5496","info@diamondsolarusa.com","https://www.diamondsolarusa.com/","not_called",""
"160","ION Solar - Dallas","ION Solar - Dallas","Dallas","(877) 579-5053","info@ionsolar.com","https://www.ionsolar.com/","not_called",""
"161","KPost Roofing & Waterproofing","KPost Roofing & Waterproofing","Dallas","(469) 898-8099","info@kpostcompany.com","https://kpostcompany.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Dallas-TX","not_called",""
"162","COREnerG","COREnerG","Dallas","(817) 821-6504","info@corenerg.solar","https://www.corenerg.solar/","not_called",""
"163","Switch Smart Solar","Switch Smart Solar","Dallas","(214) 414-3003","info@switchsmartsolar.com","https://switchsmartsolar.com/","not_called",""
"164","Royal Solar Systems","Royal Solar Systems","Dallas","(972) 842-4382","","","not_called",""
"165","Go Solar Power","Go Solar Power","Dallas","(800) 530-9597","info@gosolarpower.com","https://gosolarpower.com/","not_called",""
"166","Victory Solar","Victory Solar","Dallas","(214) 643-8374","info@victorysolar.com","https://victorysolar.com/","not_called",""
"167","Radix Solar-Dallas","Radix Solar-Dallas","Dallas","(888) 919-0980","info@radixsolar.com","https://radixsolar.com/","not_called",""
"168","TEXSOLAR","TEXSOLAR","Dallas","(214) 774-2335","","","not_called",""
"169","Alba Energy of Dallas","Alba Energy of Dallas","Dallas","(214) 320-4968","info@albaenergy.com","http://albaenergy.com/solar-installer/dallas-texas/","not_called",""
"170","Ross Solar Energy Co","Ross Solar Energy Co","Dallas","(502) 594-0020","info@rosssolarenergy.com","https://www.rosssolarenergy.com/solar-energy-contact","not_called",""
"171","O3 Energy Solutions","O3 Energy Solutions","Dallas","(888) 999-2902","info@o3energy.com","https://o3energy.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&y_source=1_MTQ3NzQ3MjItNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl","not_called",""
"172","Smooth Solar Power","Smooth Solar Power","Dallas","(866) 210-6654","info@smoothsolarpower.com","https://smoothsolarpower.com/","not_called",""
"173","Blue Hammer Solar","Blue Hammer Solar","Dallas","(844) 426-6375","info@bluehammersolar.com","http://www.bluehammersolar.com/","not_called",""
"174","Dallas Solar","Dallas Solar","Dallas","(972) 441-8230","info@dallassolar.com","http://dallassolar.com/","not_called",""
"175","Current Solar","Current Solar","Dallas","(972) 904-8988","info@currentsolar.com","https://www.currentsolar.com/","not_called",""
"176","Electric Distribution and Design Systems","Thomas Edds","Dallas","(214) 679-5458","t14tedds@eddssolar.com","https://www.eddssolar.com/","not_called",""
"177","Sunfinity Solar","Sunfinity Solar","Dallas","(844) 786-3461","info@sunfinity.com","https://sunfinity.com/","not_called",""
"178","GNRG, Inc.","GNRG, Inc.","Dallas","(833) 464-4674","info@gnrg.co","https://gnrg.co/","not_called",""
"179","Sunshine Renewable Solutions","Sunshine Renewable Solutions","Dallas","(832) 280-8838","info@sunshinerenewable.com","https://sunshinerenewable.com/","not_called",""
"180","Vantage Point Solar","Vantage Point Solar","Dallas","(844) 507-6527","Support@vantagepointsolar.com","http://www.vantagepointsolar.com/","not_called",""
"181","Green Balance Energy","Green Balance Energy","Dallas","(817) 274-0223","","","not_called",""
"182","Proxima Solar Energy","Proxima Solar Energy","Dallas","(214) 271-9171","info@proximasolar.com","https://proximasolar.com/","not_called",""
"183","Home Xperts","Home Xperts","Dallas","(469) 226-9042","info@gohomexperts.org","http://www.gohomexperts.org/","not_called",""
"184","Delta Power Group","Delta Power Group","Dallas","(877) 913-3582","info@deltapowergroup.co","https://www.deltapowergroup.co/","not_called",""
"185","Tesla Energy - Dallas | Fort Worth","Tesla Energy - Dallas | Fort Worth","Dallas","(877) 373-7652","press@tesla.com","https://www.tesla.com/solarpanels?utm_source=gmb_listing&utm_medium=organic&utm_content=dallastx_solar&utm_campaign=te_dallastx","not_called",""
"186","Solar Panels Dallas","Solar Panels Dallas","Dallas","(469) 947-9481","info@solarpanelsdallas.org","https://solarpanelsdallas.org/","not_called",""
"187","Sunergy","Sunergy","Dallas","(727) 375-9375","","","not_called",""
"188","E2S Renewables","Brandon Fisher","Houston","(713) 393-7659","","","not_called",""
"189","Luminaz Energy","Jeffrey Ellis","Houston","(713) 783-7056","info@luminazenergy.com","https://luminazenergy.com","not_called",""
"190","Green Solar Rocket","Jim Gates","Houston","(346) 209-9933","","","not_called",""
"191","Pro Solar Installers","KJ Douglass","Houston","(832) 377-7193","mail@iginomarini.com","https://prosolarinstallers.com","not_called",""
"192","Julio Kumbakari","Julio Kumbakari","Houston","(281) 974-1767","info@arkom.com","Arkom.com","not_called",""
"193","Sonepar Solar","Jacob Gardiner","Houston","(281) 469-6693","info@soneparsolar.com","https://soneparsolar.com","not_called",""
"194","Niro","Brian Turner","Houston","(832) 400-4751","info@mynirobome.com","https://mynirobome.com/","not_called",""
"195","Easton Energy Services","Justin Duncan","Houston","(281) 336-1468","","","not_called",""
"196","Solstice Solar LLC","Mohammed Taha","Houston","(281) 801-4211","info@solsticesolar.com","http://solsticesolar.com/","not_called",""
"197","Sunbeam Solar","Josef Hernandez","Houston","(346) 888-4458","info@sunbeamsolar.net","http://sunbeamsolar.net","not_called",""
"198","Christopher Knight","Christopher Knight","Houston","(713) 653-8810","info@suncaleum.com","www.suncaleum.com","not_called",""
"199","Green Lake Solar","Bret Dupleissis","Houston","(346) 209-9933","","","not_called",""
"200","Bright Solar Energy LLC","Dana Hazlebonne","Houston","(512) 518-5771","","","not_called",""
"201","Akam-Energ LLC","Vance Rollo","Houston","(281) 655-3200","info@akamenerg.com","www.akamenerg.com","not_called",""
"202","Fort Worth Solar Installation Consulting","Fort Worth Solar Installation Consulting","Fort Worth","(817) 440-3343","","","not_called",""
"203","Loanstar Solar Power","Loanstar Solar Power","Fort Worth","(682) 459-1939","","","not_called",""
"204","StarVolt Solar","StarVolt Solar","Fort Worth","(844) 782-7865","office@starvoltsolar.com","https://starvoltsolar.com/","not_called",""
"205","Solar Avenue","Solar Avenue","Fort Worth","(469) 842-7128","info@txsolaravenue.com","https://www.txsolaravenue.com/","not_called",""
"206","AB Solar and Roofing","AB Solar and Roofing","Fort Worth","(469) 608-0311","sales@absolarandroofing.com","https://absolarandroofing.com/?utm_source=AdPages_GMB_Home&utm_medium=AdPages_GMB_Home&utm_campaign=AdPages_GMB_Home","not_called",""
"207","Solar Screens","Solar Screens","Fort Worth","(817) 880-3500","info@beattexasheat.com","http://beattexasheat.com/contact-us/","not_called",""
"208","Quantum Solar of Texas","Quantum Solar of Texas","Fort Worth","(737) 379-9288","","","not_called",""
"209","Charles Solar Panels Fort Worth TX","Charles Solar Panels Fort Worth TX","Fort Worth","(682) 290-3192","","","not_called",""
"210","Solar Pro Windows","Solar Pro Windows","Fort Worth","(817) 572-4994","info@ntwindow.com","https://ntwindow.com/product/solar-pro/","not_called",""
"211","Zen Solar US","Zen Solar US","Fort Worth","(817) 482-6215","","","not_called",""
