Row,Company,Contact Name,Phone,City,Status
24,"Energy Experts Solar of Austin","Energy Experts Solar of Austin","(512) 649-9287","Austin","not_called"
25,"Optimum Solar USA","Optimum Solar USA","(512) 489-0044","Austin","not_called"
26,"Crimson Solar","Crimson Solar","(512) 552-7257","Austin","not_called"
27,"Koala Solar","Koala Solar","(737) 299-0926","Austin","not_called"
28,"Solar Brothers, LLC | Solar Installation & Hardware","Solar Brothers, LLC | Solar Installation & Hardware","(512) 759-8690","Austin","not_called"
29,"Smart Solar Systems","Smart Solar Systems","(512) 489-7854","Austin","not_called"
30,"Clearly","Clearly","(512) 525-8673","Austin","not_called"
31,"Texas Solar Power Company","Texas Solar Power Company","(512) 459-9494","Austin","not_called"
32,"Sol Tech Roofing & Solar","Sol Tech Roofing & Solar","(512) 987-8968","Austin","not_called"
33,"ATX Solar","ATX Solar","(512) 803-9652","Austin","not_called"
34,"Austin Discount Solar","Austin Discount Solar","(512) 968-7070","Austin","not_called"
35,"Set apart solar","Set apart solar","(319) 333-4445","Austin","not_called"
36,"Alba Energy","Alba Energy","(800) 238-3112","Austin","not_called"
37,"PEP Solar llc","PEP Solar llc","(512) 535-7676","Austin","not_called"
38,"The American Power Company","The American Power Company","(737) 900-1980","Austin","not_called"
39,"SolarOn Services","SolarOn Services","(512) 299-6000","Austin","not_called"
40,"Green Planet Solutions","Green Planet Solutions","(512) 866-6968","Austin","not_called"
41,"Axis Solar","Axis Solar","(512) 501-4084","Austin","not_called"
42,"Cool Solar - Austin Texas Solar Panel Power","Cool Solar - Austin Texas Solar Panel Power","(512) 883-4407","Austin","not_called"
43,"Trident Renewables","Trident Renewables","(512) 781-8156","Austin","not_called"
44,"Greenbelt Solar","Greenbelt Solar","(512) 750-1478","Austin","not_called"
45,"Freedom Solar Power - Austin Solar Panel Company & Installers","Freedom Solar Power - Austin Solar Panel Company & Installers","(512) 759-8313","Austin","not_called"
46,"EnergyRey LLC.","EnergyRey LLC.","(737) 206-0457","Austin","not_called"
47,"Easy Simple Solar","Easy Simple Solar","(512) 200-9444","Austin","not_called"
48,"Now Energy LLC","Now Energy LLC","(866) 227-1352","Austin","not_called"
49,"John Williams","John Williams","(512) 451-5511","Austin","not_called"
50,"HAR Renewables","Matthew Dunaway","(512) 921-6763","Austin","not_called"
51,"Ecoelectrics, LLC","Chirag Patel","(512) 717-0660","Austin","not_called"
52,"Enpower Off-Grid","Clayton Parker","(737) 379-9299","Austin","not_called"
53,"Jacob Parz","Jacob Parz","(512) 314-3100","Austin","not_called"
54,"Abdur Rahman","Abdur Rahman","(512) 563-3913","Austin","not_called"
55,"JRay Electrical","Justin Reynolds","(512) 981-8215","Austin","not_called"
56,"Plainsman Engineering","Ashley Monroe","(512) 454-8711","Austin","not_called"
57,"Freedom Solar","Chadwyck Preece","(512) 759-8313","Austin","not_called"
58,"Austin Energy","Christopher Johnson","(512) 494-9400","Austin","not_called"
59,"Prism Solar","Anthony Fernandez","(202) 891-4674","Austin","not_called"
60,"Tesla","Aaron Dugan","(512) 516-8177","Austin","not_called"
61,"Orange Fox, LLC","Ben Flynn","(512) 488-1120","Austin","not_called"
62,"Longhorn Solar","Jean Ewusi","(512) 837-4800","Austin","not_called"
63,"Longhorn Solar","Jameason Dillon","(512) 837-4800","Austin","not_called"
64,"Gordan Gure","Gordan Gure","(512) 678-9333","Austin","not_called"
65,"Walsh Solar & Electrical Services","Nicholas Hayes","(817) 861-6933","Austin","not_called"
66,"512 Solar","Michael Novak","(512) 329-2117","Austin","not_called"
67,"NATPRE Solar","Derek Evans","(512) 379-8332","Austin","not_called"
68,"Texas Solar","Dylan Reil","(512) 803-9652","Austin","not_called"
69,"Tesla","Terence Hooper","(512) 516-8177","Austin","not_called"
70,"Native Solar, LLC","Erik Karr","(855) 234-3131","Austin","not_called"
71,"Fortress Power","Jeremy Roberts","(877) 497-6937","Bastrop","not_called"
72,"The Solar Maintenance Guys","The Solar Maintenance Guys","(682) 346-2225","Bedford","not_called"
73,"Green Dream Solar LLC","Francesco Duran","(830) 438-3396","Bexar County","not_called"
74,"Mammoth Roofing and Solar Of Boerne","Mammoth Roofing and Solar Of Boerne","(210) 569-0398","Boerne","not_called"
75,"Power Up Sol","Power Up Sol","(210) 469-9649","Boerne","not_called"
76,"RENERGY","RENERGY","(830) 755-8699","Boerne","not_called"
77,"SunBear","SunBear","(830) 321-4488","Boerne","not_called"
78,"Sunlane Electric","Dustin Haschel","(210) 414-8695","Boerne","not_called"
79,"Texas Solar Energy","Gary Goinalka","(210) 802-4222","Boerne","not_called"
80,"Xactman Services LLC","Xactman Services LLC","(956) 382-3985","Brownsville","not_called"
81,"Solid Structures Inc","Solid Structures Inc","(956) 544-5459","Brownsville","not_called"
82,"Silva Roofing & Construction","Silva Roofing & Construction","(956) 336-2816","Brownsville","not_called"
83,"Roofing A-1 & Construction Corp","Roofing A-1 & Construction Corp","(956) 443-6621","Brownsville","not_called"
84,"Owen Roofing Company","Owen Roofing Company","(956) 546-6638","Brownsville","not_called"
85,"Logans Electric","Logans Electric","(956) 382-4651","Brownsville","not_called"
86,"TMD SOLAR ENERGY","TMD SOLAR ENERGY","(956) 435-4991","Brownsville","not_called"
87,"A7 Auto Pros | Tint | Coatings | Details - Brownsville","A7 Auto Pros | Tint | Coatings | Details - Brownsville","(956) 517-7498","Brownsville","not_called"
88,"Metro Electric, Inc.","Metro Electric, Inc.","(956) 831-7801","Brownsville","not_called"
89,"McAllen Valley Roofing Co.","McAllen Valley Roofing Co.","(956) 431-0251","Brownsville","not_called"
90,"EGO CLAIMS & CONSTRUCTION LLC","EGO CLAIMS & CONSTRUCTION LLC","(956) 465-0386","Brownsville","not_called"
91,"Texas Green Energy","Texas Green Energy","(979) 209-0010","Bryan","not_called"
92,"Enova Electrification","Enova Electrification","(281) 713-4858","Bryan","not_called"
93,"HESOLAR","HESOLAR","(512) 921-6763","Buda","not_called"
94,"Texas Solar Guys","Texas Solar Guys","(512) 565-4767","Buda","not_called"
95,"Best Solar Homes","Best Solar Homes","(866) 999-3974","Buda","not_called"
96,"Texas Solar Guys","Sean Taylor","(512) 565-4767","Buda","not_called"
97,"In Full Light","In Full Light","(210) 260-5180","Bulverde","not_called"
98,"Sueanne Jones","Sueanne Jones","(903) 753-7291","Burketsville","not_called"
99,"SunSoaker Flexible Solar","SunSoaker Flexible Solar","(833) 776-2537","Burleson","not_called"
100,"Solar Water Solutions","Solar Water Solutions","(214) 929-8730","Burleson","not_called"
101,"EWS Solar & Construction","EWS Solar & Construction","(817) 657-0465","Burleson","not_called"
102,"Boulder Solar Energy Services, LLC","Boulder Solar Energy Services, LLC","(254) 310-7726","Cameron","not_called"
103,"Superb Roofing & Restoration","Superb Roofing & Restoration","(830) 240-7318","Canyon Lake","not_called"
104,"Texas Solar Design","Texas Solar Design","(469) 575-4786","Carrollton","not_called"
105,"Quicken Solar","Quicken Solar","(432) 967-8618","Carrollton","not_called"
106,"Dawn to Dusk Solar Texas","Dawn to Dusk Solar Texas","(214) 945-3529","Carrollton","not_called"
107,"Harvest Solar Inc","Cristian Valerio","(888) 719-4787","Carrollton","not_called"
108,"Ibergreen","Ibergreen","(832) 410-1118","Castle Hills","not_called"
109,"Texas Solar Professional","Texas Solar Professional","(469) 581-0008","Cedar Hill","not_called"
110,"Good Energy Solar","Good Energy Solar","(512) 337-3697","Cedar Park","not_called"
111,"SunAura Energy","SunAura Energy","(512) 862-4101","Cedar Park","not_called"
112,"Advanced Solar & Electric","Advanced Solar & Electric","(210) 556-1399","Cibolo","not_called"
113,"Solar Supply","Solar Supply","(817) 556-4648","Cleburne","not_called"
114,"Solar Power Systems College Station","Solar Power Systems College Station","(979) 589-5894","College Station","not_called"
115,"American Solar Wind LLC","American Solar Wind LLC","(817) 263-0000","Colleyville","not_called"
116,"IES Residential","IES Residential","(210) 651-8294","Converse","not_called"
117,"OCI Solar Power Alamo 2 Solar Farm","OCI Solar Power Alamo 2 Solar Farm","(210) 453-3100","Converse","not_called"
118,"Eco-Green Renewable","Gianluca Ferretti","(888) 229-0213","Corpus Christi","not_called"
119,"View Crystal Solar Contractor","View Crystal Solar Contractor","(830) 850-1006","Crystal City","not_called"
120,"GVEC Solar Services","GVEC Solar Services","(855) 898-8807","Cuero","not_called"
121,"TEXSOLAR","TEXSOLAR","(214) 774-2335","Dallas","not_called"
122,"Radix Solar-Dallas","Radix Solar-Dallas","(888) 919-0980","Dallas","not_called"
123,"Ross Solar Energy Co","Ross Solar Energy Co","(502) 594-0020","Dallas","not_called"
124,"Alba Energy of Dallas","Alba Energy of Dallas","(214) 320-4968","Dallas","not_called"
125,"Royal Solar Systems","Royal Solar Systems","(972) 842-4382","Dallas","not_called"
126,"Switch Smart Solar","Switch Smart Solar","(214) 414-3003","Dallas","not_called"
127,"Victory Solar","Victory Solar","(214) 643-8374","Dallas","not_called"
128,"Go Solar Power","Go Solar Power","(800) 530-9597","Dallas","not_called"
129,"SLE Green Energy, LLC","SLE Green Energy, LLC","(469) 776-9200","Dallas","not_called"
130,"Proclaim Solar LLC","Proclaim Solar LLC","(972) 984-7663","Dallas","not_called"
131,"Clean Power Store","Clean Power Store","(214) 915-8802","Dallas","not_called"
132,"Custom Pro Roofing and solar","Custom Pro Roofing and solar","(229) 264-4313","Dallas","not_called"
133,"KPost Roofing & Waterproofing","KPost Roofing & Waterproofing","(469) 898-8099","Dallas","not_called"
134,"COREnerG","COREnerG","(817) 821-6504","Dallas","not_called"
135,"Diamond Solar USA","Diamond Solar USA","(214) 214-5496","Dallas","not_called"
136,"ION Solar - Dallas","ION Solar - Dallas","(877) 579-5053","Dallas","not_called"
137,"O3 Energy Solutions","O3 Energy Solutions","(888) 999-2902","Dallas","not_called"
138,"Delta Power Group","Delta Power Group","(877) 913-3582","Dallas","not_called"
139,"Solar Panels Dallas","Solar Panels Dallas","(469) 947-9481","Dallas","not_called"
140,"Sunergy","Sunergy","(727) 375-9375","Dallas","not_called"
141,"Green Balance Energy","Green Balance Energy","(817) 274-0223","Dallas","not_called"
142,"Tesla Energy - Dallas | Fort Worth","Tesla Energy - Dallas | Fort Worth","(877) 373-7652","Dallas","not_called"
143,"Home Xperts","Home Xperts","(469) 226-9042","Dallas","not_called"
144,"Proxima Solar Energy","Proxima Solar Energy","(214) 271-9171","Dallas","not_called"
145,"Vantage Point Solar","Vantage Point Solar","(844) 507-6527","Dallas","not_called"
146,"Current Solar","Current Solar","(972) 904-8988","Dallas","not_called"
147,"Smooth Solar Power","Smooth Solar Power","(866) 210-6654","Dallas","not_called"
148,"Blue Hammer Solar","Blue Hammer Solar","(844) 426-6375","Dallas","not_called"
149,"GNRG, Inc.","GNRG, Inc.","(833) 464-4674","Dallas","not_called"
150,"Sunshine Renewable Solutions","Sunshine Renewable Solutions","(832) 280-8838","Dallas","not_called"
151,"Electric Distribution and Design Systems","Thomas Edds","(214) 679-5458","Dallas","not_called"
152,"Sunfinity Solar","Sunfinity Solar","(844) 786-3461","Dallas","not_called"
153,"Dallas Solar","Dallas Solar","(972) 441-8230","Dallas","not_called"
154,"Yagnew Manengenegle","Yagnew Manengenegle","(214) 894-5040","Dallas","not_called"
155,"Hans Maggio","Hans Maggio","(832) 280-8838","Dallas","not_called"
156,"Michael Lafiectis","Michael Lafiectis","(469) 227-9333","Dallas","not_called"
157,"Denton Solar","Denton Solar","(940) 208-0150","Denton","not_called"
158,"Solar Power Systems Denton","Solar Power Systems Denton","(940) 353-6214","Denton","not_called"
159,"Epic Solar Pro's","Epic Solar Pro's","(940) 368-3744","Denton","not_called"
160,"Solar Smart TX","Solar Smart TX","(469) 558-1701","DeSoto","not_called"
161,"The Solar Cowboys","The Solar Cowboys","(469) 654-1041","DeSoto","not_called"
162,"Guided Path Solar","Guided Path Solar","(512) 200-3344","Dripping Springs","not_called"
163,"NATiVE Solar","NATiVE Solar","(855) 234-3131","Dripping Springs","not_called"
164,"Willis Construction","Willis Construction","(806) 935-6951","Dumas","not_called"
165,"Evolve Solar Installation","Evolve Solar Installation","(469) 297-9013","Duncanville","not_called"
166,"Smart Energy Solution","Smart Energy Solution","(830) 968-0784","Eagle Pass","not_called"
167,"Eagle SolarPanels Tiles Installs","Eagle SolarPanels Tiles Installs","(281) 533-6728","Eagle Pass","not_called"
168,"Blevins Solar","Blevins Solar","(763) 522-2100","Eddy","not_called"
169,"JTV Solar","Elijah Nava","(325) 853-1000","Eldorado Springs","not_called"
170,"Radiant Technologies Solar System LLC","Radiant Technologies Solar System LLC","(469) 949-3982","Ennis","not_called"
171,"Sustainable Eco","Matthew Greenwood","(682) 231-2982","Euless","not_called"
172,"Epicpwr Solar Energy Farmers Branch TX","Epicpwr Solar Energy Farmers Branch TX","(945) 221-7100","Farmers Branch","not_called"
173,"Tech Solar Industries (TSI)","Tech Solar Industries (TSI)","(469) 991-5000","Farmers Branch","not_called"
174,"Infinity Solar USA - Texas","Infinity Solar USA - Texas","(469) 945-6290","Farmers Branch","not_called"
175,"Solarize","Solarize","(817) 527-1482","Farmers Branch","not_called"
176,"Arvo Solar DFW Rockwall-Fate","Arvo Solar DFW Rockwall-Fate","(469) 264-8383","Fate","not_called"
177,"KA Solar","KA Solar","(214) 856-8222","Flower Mound","not_called"
178,"DFW Solar Electric","DFW Solar Electric","(972) 827-7651","Flower Mound","not_called"
179,"Texas Solar Panimals","Texas Solar Panimals","(469) 694-3475","Forney","not_called"
180,"Quantum Solar of Texas","Quantum Solar of Texas","(737) 379-9288","Fort Worth","not_called"
181,"Solar Screens","Solar Screens","(817) 880-3500","Fort Worth","not_called"
182,"Charles Solar Panels Fort Worth TX","Charles Solar Panels Fort Worth TX","(682) 290-3192","Fort Worth","not_called"
183,"Zen Solar US","Zen Solar US","(817) 482-6215","Fort Worth","not_called"
184,"Solar Pro Windows","Solar Pro Windows","(817) 572-4994","Fort Worth","not_called"
185,"Loanstar Solar Power","Loanstar Solar Power","(682) 459-1939","Fort Worth","not_called"
186,"Fort Worth Solar Installation Consulting","Fort Worth Solar Installation Consulting","(817) 440-3343","Fort Worth","not_called"
187,"StarVolt Solar","StarVolt Solar","(844) 782-7865","Fort Worth","not_called"
188,"AB Solar and Roofing","AB Solar and Roofing","(469) 608-0311","Fort Worth","not_called"
189,"Solar Avenue","Solar Avenue","(469) 842-7128","Fort Worth","not_called"
190,"Solar Power Systems Fort Worth","Solar Power Systems Fort Worth","(817) 330-6766","Fort Worth","not_called"
191,"Sunton Solutions LLC | Solar Panel Cleaning","Sunton Solutions LLC | Solar Panel Cleaning","(817) 353-5479","Fort Worth","not_called"
192,"Circle L Solar","Circle L Solar","(817) 945-2011","Fort Worth","not_called"
193,"Pulse Turnkey- Formerly Texas Solar Solutions LLC","Pulse Turnkey- Formerly Texas Solar Solutions LLC","(817) 903-2295","Fort Worth","not_called"
194,"Solnova","Solnova","(833) 765-6682","Fort Worth","not_called"
195,"Suntria | Texas Solar Panel Installers","Suntria | Texas Solar Panel Installers","(469) 277-9918","Fort Worth","not_called"
196,"Eclipse Solar","Eclipse Solar","(214) 973-6417","Fort Worth","not_called"
197,"SolarCo. Texas","SolarCo. Texas","(817) 751-8911","Fort Worth","not_called"
198,"Sol Nova Electric","Tony Trammell","(833) 765-6682","Fort Worth","not_called"
199,"Sonfis, LLC","Michael Fry","(817) 231-0171","Fort Worth","not_called"
200,"Edge North America","Anthony Gust","(817) 732-4473","Fort Worth","not_called"
201,"Kaco Energy LLC","Adrian Guzman","(210) 446-4238","Fort Worth","not_called"
202,"Hill Country Solar","Hill Country Solar","(512) 924-5525","Fredericksburg","not_called"
203,"Tesla solar","Tesla solar","(254) 318-4664","Fredericksburg","not_called"
204,"Champion Solar","Champion Solar","(972) 801-8662","Frisco","not_called"
205,"1 Solar Solution, LLC","1 Solar Solution, LLC","(855) 601-7652","Frisco","not_called"
206,"Shneyder Solar Frisco","Shneyder Solar Frisco","(469) 916-7105","Frisco","not_called"
207,"Trojan Solar","Trojan Solar","(469) 299-9980","Frisco","not_called"
208,"Evolve Solar Installation","Evolve Solar Installation","(469) 224-5039","Frisco","not_called"
209,"Remington Solar, Inc.","Remington Solar, Inc.","(214) 257-8300","Garland","not_called"
210,"Infinity Energy","Infinity Energy","(469) 485-5207","Garland","not_called"
211,"Shneyder Solar INC","Shneyder Solar INC","(945) 215-7283","Garland","not_called"
212,"Harvest Solar Inc.","Harvest Solar Inc.","(888) 719-4787","Garland","not_called"
213,"James Electrical Service LLC","James Electrical Service LLC","(254) 258-7665","Gatesville","not_called"
214,"GVEC Solar Services","GVEC Solar Services","(855) 898-8807","Gonzales","not_called"
215,"Solar Recycle USA","Solar Recycle USA","(817) 200-6111","Grand Prairie","not_called"
216,"Sunrun Solar","Sunrun Solar","(833) 324-5886","Grand Prairie","not_called"
217,"V3 Electric","V3 Electric","(844) 837-6937","Grand Prairie","not_called"
218,"CMS RENEWABLE ENERGY","CMS RENEWABLE ENERGY","(940) 220-9971","Grand Prairie","not_called"
219,"Sonovus Energy","Sonovus Energy","(833) 766-6887","Grand Prairie","not_called"
220,"Solar SME, INC.","Solar SME, INC.","(214) 227-9736","Grand Prairie","not_called"
221,"Our World Energy, LLC","Our World Energy, LLC","(623) 850-5700","Grand Prairie","not_called"
222,"SUNPRO SOLAR LLC","SUNPRO SOLAR LLC","(833) 786-7761","Grapevine","not_called"
223,"North Texas Solar","North Texas Solar","(940) 387-2716","Grapevine","not_called"
224,"Sunbox Pros","Sunbox Pros","(214) 600-8270","Grapevine","not_called"
225,"Sustainable Roofing & Solar","Sustainable Roofing & Solar","(817) 900-9560","Grapevine","not_called"
226,"Freedom Solar Power - Dallas Solar Panel Company & Installers","Freedom Solar Power - Dallas Solar Panel Company & Installers","(972) 441-8230","Grapevine","not_called"
227,"Sunsolar Solutions","Sunsolar Solutions","(817) 591-8228","Grapevine","not_called"
228,"Diamond M Waterwell Services","Diamond M Waterwell Services","(806) 733-5678","Gruver","not_called"
229,"2H Solar Training","2H Solar Training","(254) 294-7907","Harker Heights","not_called"
230,"Solar Service","Solar Service","(844) 248-0335","Harker Heights","not_called"
231,"Allegiance Solar","Allegiance Solar","(254) 213-2164","Harker Heights","not_called"
232,"Solar CenTex","Solar CenTex","(254) 393-1340","Harker Heights","not_called"
233,"RGV Electric","RGV Electric","(956) 443-3004","Harlingen","not_called"
234,"Solar Power Home Systems","Solar Power Home Systems","(956) 422-3033","Harlingen","not_called"
235,"Aresa Home Solutions","Aresa Home Solutions","(956) 509-7193","Harlingen","not_called"
236,"Texas Solar Energy Company","Texas Solar Energy Company","(956) 368-1818","Harlingen","not_called"
237,"SunSmart Solar Helotes","SunSmart Solar Helotes","(210) 898-4890","Helotes","not_called"
238,"Micro Grid Energy LLC","Micro Grid Energy LLC","(210) 987-3429","Hollywood Park","not_called"
239,"Akam-Energ LLC","Vance Rollo","(281) 655-3200","Houston","not_called"
240,"Niro","Brian Turner","(832) 400-4751","Houston","not_called"
241,"Easton Energy Services","Justin Duncan","(281) 336-1468","Houston","not_called"
242,"Sonepar Solar","Jacob Gardiner","(281) 469-6693","Houston","not_called"
243,"Pro Solar Installers","KJ Douglass","(832) 377-7193","Houston","not_called"
244,"Julio Kumbakari","Julio Kumbakari","(281) 974-1767","Houston","not_called"
245,"Green Lake Solar","Bret Dupleissis","(346) 209-9933","Houston","not_called"
246,"Green Solar Rocket","Jim Gates","(346) 209-9933","Houston","not_called"
247,"Bright Solar Energy LLC","Dana Hazlebonne","(512) 518-5771","Houston","not_called"
248,"Christopher Knight","Christopher Knight","(713) 653-8810","Houston","not_called"
249,"Solstice Solar LLC","Mohammed Taha","(281) 801-4211","Houston","not_called"
250,"Sunbeam Solar","Josef Hernandez","(346) 888-4458","Houston","not_called"
251,"E2S Renewables","Brandon Fisher","(713) 393-7659","Houston","not_called"
252,"Luminaz Energy","Jeffrey Ellis","(713) 783-7056","Houston","not_called"
253,"Solarugreen","Solarugreen","(682) 718-4741","Hurst","not_called"
254,"LGCY Power","LGCY Power","(817) 616-5344","Hurst","not_called"
255,"Power Werx Energy","Power Werx Energy","(682) 718-1428","Irving","not_called"
256,"Solio Solar","Solio Solar","(972) 636-5033","Irving","not_called"
257,"Credible Solar","Credible Solar","(972) 513-5293","Irving","not_called"
258,"Xclusive Solar","Xclusive Solar","(720) 656-3647","Irving","not_called"
259,"Elios Solar","Elios Solar","(214) 865-7519","Irving","not_called"
260,"Bright Earth Solar","Bright Earth Solar","(817) 682-6463","Irving","not_called"
261,"Supernova Solar DBA Smartsan Energy","Nicholas Radzykewycz","(346) 704-2198","Katy","not_called"
262,"Power up Solar 21 LLC","Steven Thompson","(916) 824-4650","Katy","not_called"
263,"Solar White, LLC","Freddy Ferre","(210) 325-1110","Katy","not_called"
264,"Solar World LLC","Solar World LLC","(903) 910-5497","Kemp","not_called"
265,"Epik Solar of Kerrville","Epik Solar of Kerrville","(830) 224-3342","Kerrville","not_called"
266,"SolarCentralTexas","SolarCentralTexas","(254) 245-2030","Killeen","not_called"
267,"2EZ Solar","2EZ Solar","(254) 224-5500","Killeen","not_called"
268,"Solar Power Systems Killeen","Solar Power Systems Killeen","(254) 414-0753","Killeen","not_called"
269,"Solstema","Solstema","(512) 524-3504","Kyle","not_called"
270,"ION Solar - Texas","ION Solar - Texas","(888) 781-7074","Kyle","not_called"
271,"IES Texas Solar","IES Texas Solar","(956) 797-3148","La Feria","not_called"
272,"GVEC Solar Services","GVEC Solar Services","(855) 898-8807","La Vernia","not_called"
273,"Solar Installer Texas","Solar Installer Texas","(512) 812-7409","Lakeway","not_called"
274,"SILVER ELECTRIC AND SOLAR","SILVER ELECTRIC AND SOLAR","(512) 529-8283","Leander","not_called"
275,"Power TX","Power TX","(512) 298-2045","Leander","not_called"
276,"THS Home Solar","THS Home Solar","(888) 617-5289","Lewisville","not_called"
277,"Texas Best Solar","Texas Best Solar","(940) 242-1285","Lewisville","not_called"
278,"Destined Energy","Destined Energy","(469) 277-9628","Lewisville","not_called"
279,"Power On","Power On","(512) 648-3268","Liberty Hill","not_called"
280,"Now Energy LLC","Now Energy LLC","(512) 614-0498","Live Oak","not_called"
281,"East Texas Power","Jason Maxillom","(936) 229-4000","Livingston","not_called"
282,"GreenMT Solar","Aaron Noffsinger","(806) 334-3150","Lubbock","not_called"
283,"Signature Solar","Jayla Moulder","(903) 441-2090","Lubbock","not_called"
284,"Nicolas Lyons","Nicolas Lyons","(806) 730-6596","Lubbock","not_called"
285,"Robert Martinez","Robert Martinez","(806) 762-3597","Lubbock","not_called"
286,"Solarus","David Neuman","(469) 651-9836","Lubbock","not_called"
287,"Guy Kohlko","Guy Kohlko","(806) 797-7000","Lubbock","not_called"
288,"Travis Lakey","Travis Lakey","(806) 783-0800","Lubbock","not_called"
289,"Tesla","Nevid Ely","(806) 503-6224","Lubbock","not_called"
290,"Clean Green Energy","Andrew Durham","(512) 986-2530","Lubbock","not_called"
291,"ARC Solar & EV Solutions","ARC Solar & EV Solutions","(210) 461-8128","Lytle","not_called"
292,"GreenGo Solar","GreenGo Solar","(512) 674-1577","Manor","not_called"
293,"Eagle Solar Power","Eagle Solar Power","(817) 917-9965","Mansfield","not_called"
294,"Freedom Solar and Electric, LLC","Henry Wood","(972) 935-6787","Mansfield","not_called"
295,"SolarWaco","SolarWaco","(254) 457-9900","McGregor","not_called"
296,"Infinity Solar Panel Installations","Infinity Solar Panel Installations","(469) 591-1212","McKinney","not_called"
297,"Axium Solar","Axium Solar","(972) 633-8680","McKinney","not_called"
298,"STR Solar","STR Solar","(469) 552-5576","McKinney","not_called"
299,"Semper Solaris","Semper Solaris","(972) 716-2998","McKinney","not_called"
300,"NUR Green Living Solutions","NUR Green Living Solutions","(956) 800-9498","Mercedes","not_called"
301,"Magic Valley Elec Co-Op Inc","Magic Valley Elec Co-Op Inc","(866) 225-5683","Mercedes","not_called"
302,"SunStar Solutions","SunStar Solutions","(469) 423-8088","Mesquite","not_called"
303,"MayAztil Renovations","Alberto Hernandez","(432) 894-9941","Mesquite","not_called"
304,"RGV Solar","RGV Solar","(956) 507-0514","Mission","not_called"
305,"Texas Solar Professional","Weijun Luo","(469) 581-0008","Monterey","not_called"
306,"Solar Farm","Solar Farm","(830) 254-4896","Mt Calm","not_called"
307,"Epik Solar of New Braunfels","Epik Solar of New Braunfels","(830) 224-3347","New Braunfels","not_called"
308,"White Label Solar & Lighting","White Label Solar & Lighting","(210) 325-1110","New Braunfels","not_called"
309,"Texas Powered by Solar","Texas Powered by Solar","(830) 832-3332","New Braunfels","not_called"
310,"Jiles Solar Power and Jiles Roofing","Jiles Solar Power and Jiles Roofing","(830) 401-9972","New Braunfels","not_called"
311,"Impact Solar Solutions, LLC","Paul Johnson","(866) 395-1975","New Braunfels","not_called"
312,"Jiles Solar Power, LLC","Jay Richardson","(830) 401-9972","New Braunfels","not_called"
313,"Pure Energy","Jarrett Gonzalez","(866) 234-8184","New Cancy","not_called"
314,"Solar Screens Killeen","Solar Screens Killeen","(254) 458-4116","Nolanville","not_called"
315,"Simplicity power","Simplicity power","(817) 646-7174","North Richland Hills","not_called"
316,"Black Diamond PPF & Tint - Olmito","Black Diamond PPF & Tint - Olmito","(956) 558-2263","Olmito","not_called"
317,"SCS Sales Consultant Services","SCS Sales Consultant Services","(956) 551-1420","Olmito","not_called"
318,"EasTex Solar","EasTex Solar","(903) 805-1849","Palestine","not_called"
319,"Niro","Jeremy Turner","(832) 756-4800","Pearland","not_called"
320,"IES Texas Solar - Austin","IES Texas Solar - Austin","(512) 766-4276","Pflugerville","not_called"
321,"Longhorn Solar - Austin","Longhorn Solar - Austin","(512) 837-4800","Pflugerville","not_called"
