Company Name,Phone,City,Profile URL,Notes
"Texas Solar",(210) 802-4222,San Antonio,https://solarinstallerstx.com/installers/a4f7764d-d404-4253-817f-a219ffbc6f08,
"Nicolas Lyons",(806) 730-6596,Lubbock,https://solarinstallerstx.com/installers/a624a37c-263d-4947-8de7-8e22551ef0f7,
"Yagnew Manengenegle",(214) 894-5040,Dallas,https://solarinstallerstx.com/installers/ccacfa4e-0dac-4dd1-ac8f-67949488b0bf,
"Wright Way Solar Technologies",(903) 561-5191,Tyler,https://solarinstallerstx.com/installers/93083ce3-8d0e-4904-9a53-e95074ded18f,
"Now Energy LLC",(866) 227-1352,Wimberley,https://solarinstallerstx.com/installers/e259c790-967c-4b17-a416-ec61e0f06bef,
"Texas Solar Guys",(512) 565-4767,Buda,https://solarinstallerstx.com/installers/f8b2dc02-ad96-4b07-ab20-066d725968b5,
"Sol Nova Electric",(833) 765-6682,Fort Worth,https://solarinstallerstx.com/installers/06a24b28-e303-4fd4-95c1-c533341ad0b3,
"Jacob Parz",(512) 314-3100,Austin,https://solarinstallerstx.com/installers/8263ad0d-d9ad-4913-8dfb-2a0a1689f685,
"Longhorn Solar",(512) 837-4800,Round Rock,https://solarinstallerstx.com/installers/01c2a587-7bb2-42bd-b269-d6bc723183dd,
"Freedom Solar",(512) 759-8313,Austin,https://solarinstallerstx.com/installers/c4e35363-62c0-4492-84f6-f11af5d70b85,
"Abdur Rahman",(512) 563-3913,Austin,https://solarinstallerstx.com/installers/b193ec9e-e609-4152-aea6-5624a8ee70b3,
"JRay Electrical",(512) 981-8215,Austin,https://solarinstallerstx.com/installers/15ef46fe-48ce-477e-9b45-b00a0674761b,
"Miguel Rivera",(813) 879-8045,San Antonio,https://solarinstallerstx.com/installers/e6b03cba-55ba-4c3f-b440-78148b4530c3,
"Plainsman Engineering",(512) 454-8711,Austin,https://solarinstallerstx.com/installers/7227c2cc-bae0-4879-9d16-448c1f78c2aa,
"Solarus",(469) 651-9836,Lubbock,https://solarinstallerstx.com/installers/16e82078-e828-4668-a4f0-31cc62908864,
"GreenMT Solar",(806) 334-3150,Lubbock,https://solarinstallerstx.com/installers/52845692-ca18-49e6-979c-b68511794b7d,
"Texar Solar",(469) 581-0008,Waxahachie,https://solarinstallerstx.com/installers/3d5cd9b3-aa8e-4595-8494-c2f7f98bf2e8,
"Robert Martinez",(806) 762-3597,Lubbock,https://solarinstallerstx.com/installers/ac64d66a-cc82-40c9-935e-90566b914d3a,
"Madere LLC",(940) 267-0063,Wichita,https://solarinstallerstx.com/installers/4718a260-5014-4941-b9ed-d292d2d7180d,
"Impact Solar Solutions, LLC",(866) 395-1975,New Braunfels,https://solarinstallerstx.com/installers/8c47f3fa-42ff-4bf9-9cab-30763aa723e9,
"East Texas Power",(936) 229-4000,Livingston,https://solarinstallerstx.com/installers/f2c7933a-cb44-4c07-8f0a-f052ae5c26c8,
"Austin Energy",(512) 494-9400,Austin,https://solarinstallerstx.com/installers/db86086c-a939-479a-9877-a1274ce0daa1,
"Native Solar, LLC",(855) 234-3131,Austin,https://solarinstallerstx.com/installers/14361048-6b96-40f5-ad3e-e6582af6833c,
"Charles Kirk",	+44 116 277 3336,San Antonio,https://solarinstallerstx.com/installers/7a0969ea-36d6-449e-925c-81f8b474d59a,
"Guy Kohlko",(806) 797-7000,Lubbock,https://solarinstallerstx.com/installers/f2be7ba7-b75d-432f-bcdb-3f2de3fb5753,
"Travis Lakey",(806) 783-0800,Lubbock,https://solarinstallerstx.com/installers/60934a17-4880-49f8-9214-912df909a239,
"Pro Solar Installers",(832) 377-7193,Houston,https://solarinstallerstx.com/installers/42f27db2-e879-4f8e-8980-bd7fb5c6885d,
"Easton Energy Services",(281) 336-1468,Houston,https://solarinstallerstx.com/installers/7a96c239-5503-4a28-8518-5afaaf8d932e,
"Green Dream Solar LLC",(830) 438-3396,Bexar County,https://solarinstallerstx.com/installers/05a525f4-ab76-4e3a-9395-8c5d12231c50,
"Tesla",(806) 503-6224,Lubbock,https://solarinstallerstx.com/installers/896510b6-b215-4cea-b5ee-cfe1fee5d806,
"Prism Solar",(202) 891-4674,Austin,https://solarinstallerstx.com/installers/6e3a599b-7092-458e-9c4d-1e07984a271a,
"Solar White, LLC",(210) 325-1110,Katy,https://solarinstallerstx.com/installers/7f41b287-defe-4c72-8514-936880f74c2a,
"3rd Generation",(210) 224-9588,San Antonio,https://solarinstallerstx.com/installers/92280f92-f861-4807-bcf7-9ed33187684a,
"DG Renewables",(956) 686-6040,Sulphur Springs,https://solarinstallerstx.com/installers/c6466e44-92c1-4260-8e7c-f61581dc8f8e,
"Solar Electric Texas L.L.C",(210) 802-4222,San Antonio,https://solarinstallerstx.com/installers/43add7d5-0579-4c9d-a712-c4ae4fb93ce0,
"Pure Energy",(866) 234-8184,New Cancy,https://solarinstallerstx.com/installers/88f862d1-a662-45ff-9702-108a128fc2fc,
"Omosewe Guerra",(210) 775-2265,San Antonio,https://solarinstallerstx.com/installers/bc913a41-9dfe-402c-87a7-ad37a10f0374,
"Julio Kumbakari",(281) 974-1767,Houston,https://solarinstallerstx.com/installers/67ba67e9-3e31-412d-8caf-8bfd44d0210b,
"Michael Lafiectis",(469) 227-9333,Dallas,https://solarinstallerstx.com/installers/0bdddc9b-e491-49fa-9bf1-1052ecf149c0,
"Tesla",(512) 516-8177,Austin,https://solarinstallerstx.com/installers/6e9fdea9-0439-45e0-b97e-aae271398f7b,
"Green Lake Solar",(346) 209-9933,Houston,https://solarinstallerstx.com/installers/41de8306-df80-4929-8a4b-421b5eac04e2,
"Clean Green Energy",(512) 986-2530,Lubbock,https://solarinstallerstx.com/installers/75b4026d-8356-4083-911d-63ed964de264,
"Engel Electric",(210) 897-6527,San Antonio,https://solarinstallerstx.com/installers/dc92e232-60dd-4fb3-8d21-d0bad7ad9e84,
"Eco-Green Renewable",(888) 229-0213,Corpus Christi,https://solarinstallerstx.com/installers/64ed8031-f6c0-4f18-9aed-3e0fa9f9a197,
"Orange Fox, LLC",(512) 488-1120,Austin,https://solarinstallerstx.com/installers/b33619fa-bbda-48e6-92e9-c6bbadfd56df,
"Sonfis, LLC",(817) 231-0171,Fort Worth,https://solarinstallerstx.com/installers/d20c69ee-f7bd-461a-ba15-acb8bc1df7c7,
"Green Solar Rocket",(346) 209-9933,Houston,https://solarinstallerstx.com/installers/86d84cf2-6f03-40c9-ad59-ae45f73abbd5,
"NRG Renewables",(833) 464-4674,Sulphur Springs,https://solarinstallerstx.com/installers/64cdf7bc-3357-4cbd-a25d-f14a6b4b4517,
"Elias Solar, Inc.",(713) 239-9133,San Antonio,https://solarinstallerstx.com/installers/b567bc09-60e4-4237-ba87-05ecda97ebc6,
"Olympic Electric & Solar, LLC",(210) 236-8314,San Antonio,https://solarinstallerstx.com/installers/41ce8afb-3799-4eb9-823e-e284a8ee8096,
"Edge North America",(817) 732-4473,Fort Worth,https://solarinstallerstx.com/installers/06034f4c-f69d-410d-8a42-d334fdc2af4e,
"Bright Solar Energy LLC",(512) 518-5771,Houston,https://solarinstallerstx.com/installers/2b9adac7-7210-4f8f-b7b0-d1688fbd993f,
"Gordan Gure",(512) 678-9333,Austin,https://solarinstallerstx.com/installers/24c8bb93-fdf3-4ad3-9924-2d256cf9ad6c,
"Kaco Energy LLC",(210) 446-4238,Fort Worth,https://solarinstallerstx.com/installers/d1fa708f-9dd0-4225-a9fe-81e49e322f86,
"MayAztil Renovations",(432) 894-9941,Mesquite,https://solarinstallerstx.com/installers/7884d0ca-2e05-47c1-aa20-329b7e880113,
"Sweet Light Solar",(254) 457-9900,Waco,https://solarinstallerstx.com/installers/380dca99-bce7-40f6-9fc1-82d9c6f1c029,
"512 Solar",(512) 329-2117,Austin,https://solarinstallerstx.com/installers/943c673a-a96e-4bf6-97fc-c2450a2a2bba,
