company_name,phone,city,state,website,rating,review_count
"Service Experts Houston",(713) 722-5000,Houston,TX,www.churchservices.com/?utm_source=google-business-profile&utm_medium=organic&utm_campaign=business-listing&utm_content=church,4.8,4428
"Best Buy",(972) 712-3939,Frisco,TX,stores.bestbuy.com/tx/frisco/3333-preston-rd-180.html/?ref=NS&loc=ns100,4.1,4332
"Window World of Houston",(713) 439-1172,Houston,TX,www.windowworldhouston.com,4.7,4330
"Best Buy",(361) 857-8300,Corpus Christi,TX,stores.bestbuy.com/tx/corpus-christi/4717-s-padre-island-dr-235.html/?ref=NS&loc=ns100,4.1,4320
"Best Buy",(915) 584-5304,El Paso,TX,stores.bestbuy.com/tx/el-paso/815-sunland-park-dr-829.html/?ref=NS&loc=ns100,4.3,4263
"Walmart Supercenter",(260) 441-7071,Fort Wayne,TX,www.walmart.com/store/4231-fort-wayne-in/?veh=seo_loc,3.8,4259
"Walmart Supercenter",(740) 380-1472,Logan,TX,www.walmart.com/store/3282-logan-oh/?veh=seo_loc,4,4039
"Best Buy",(956) 686-8633,McAllen,TX,stores.bestbuy.com/tx/mcallen/8012-n-10th-st-1473.html/?ref=NS&loc=ns100,4.3,3878
"Best Buy",(970) 225-6003,Fort Collins,TX,stores.bestbuy.com/co/fort-collins/4040-s-college-ave-225.html/?ref=NS&loc=ns100,4,3859
"IGS Energy",(877) 995-4447,Dublin,TX,www.igs.com,4.1,3818
"Best Buy",(512) 246-3120,Round Rock,TX,stores.bestbuy.com/tx/round-rock/3201-south-interstate-35-859.html/?ref=NS&loc=ns100,4.1,3813
"Lowe's Home Improvement",(915) 755-9155,El Paso,TX,www.lowes.com/store/TX-El-Paso/1137?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-1137-_-na-_-0-_-0&y_source=1_MTE4NDM4OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.2,3792
"Meijer",+1 989-839-5900,Midland,TX,www.meijer.com/shopping/store-locator/108.html?cmpid=LM:Web::::05112021::GoogleGrocery,4.3,3749
"The Home Depot",(313) 341-7750,Detroit,TX,www.homedepot.com/l/Detroit-7-Mile-Meyers/MI/Detroit/48235/2781?emt=MSGMBGoogleMaps,3.9,3745
"Constellation",(888) 900-7052,Houston,TX,www.constellation.com,4.6,3715
"Rescue Air and Plumbing",(972) 201-3253,Dallas,TX,www.rescueairtx.com,4.9,3684
"Best Buy",(260) 471-5501,Fort Wayne,TX,stores.bestbuy.com/in/fort-wayne/737-northcrest-shopping-ctr-228.html/?ref=NS&loc=ns100,4.1,3626
"Blain's Farm & Fleet - Sturtevant, Wisconsin",(262) 886-2757,Sturtevant,TX,www.farmandfleet.com/stores/blains-farm-and-fleet-of-sturtevant-wisconsin,4.4,3618
"Knochelmann Service Experts",(859) 927-3814,Sharonville,TX,www.serviceexperts.com/cincinnati-oh?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,4.9,3611
"Best Buy",(951) 343-8960,Riverside,TX,stores.bestbuy.com/ca/riverside/3900-tyler-st-110.html/?ref=NS&loc=ns100,4.2,3585
"Walmart Supercenter",(760) 730-1371,Oceanside,TX,www.walmart.com/store/5075-oceanside-ca/?veh=seo_loc,4,3580
"Walmart Supercenter",(740) 439-5743,Cambridge,TX,www.walmart.com/store/3262-cambridge-oh/?veh=seo_loc,3.8,3557
"CleanSky Energy",(888) 355-6205,Houston,TX,cleanskyenergy.com/?utm_source=local-gbp&utm_medium=organic&utm_campaign=gbp,4.6,3464
"Energy Ogre",(832) 924-7120,Houston,TX,www.energyogre.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmbprofile,4.7,3412
"Tritek Window Tinting & Paint Protection",(972) 926-5666,Garland,TX,tritektinting.com,5,3399
"Lowe's Home Improvement",(713) 426-6300,Houston,TX,www.lowes.com/store/TX-Houston/0681?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-681-_-na-_-0-_-0&y_source=1_MTE4Mzg2NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,3.9,3383
"Vego Garden",+1 866-597-1888,Tomball,TX,vegogarden.com,4.9,3347
"Lowe's Home Improvement",(903) 581-8500,Tyler,TX,www.lowes.com/store/TX-Tyler/0463?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-463-_-na-_-0-_-0&y_source=1_MTE4NDMwNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,3.9,3336
"Green Mountain Energy",(877) 245-7795,Houston,TX,www.greenmountainenergy.com,3.9,3293
"Walmart Supercenter",(251) 947-4424,Robertsdale,TX,www.walmart.com/store/6173-robertsdale-al/?veh=seo_loc,4,3291
"Power Home Remodeling",(214) 306-7611,Irving,TX,powerhrg.com,4.6,3283
"Colair",(956) 581-5212,Mission,TX,colairinc.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,5,3264
"The Home Depot",(210) 531-9600,San Antonio,TX,www.homedepot.com/l/Fair-Ave/TX/San-Antonio/78223/503?emt=MSGMBGoogleMaps,4.2,3216
"DaBella",(971) 251-1650,Hillsboro,TX,dabella.us/location/portland/?utm_source=GBP&utm_medium=link&utm_campaign=portlandORGBP&utm_id=Google+Business+Profile+Clicks,4.4,3161
"The Home Depot",(908) 686-9804,Vauxhall,TX,www.homedepot.com/l/915/NJ/Vauxhall/07088/915,4.2,3068
"The Home Depot",(210) 932-1199,San Antonio,TX,www.homedepot.com/l/Military/TX/San-Antonio/78224/6529?emt=MSGMBGoogleMaps,4.1,3065
"The Home Depot",(281) 820-4745,Houston,TX,www.homedepot.com/l/North-Houston/TX/Houston/77037/6510?emt=MSGMBGoogleMaps,4.2,3039
"Walmart Supercenter",(859) 635-8800,Alexandria,TX,www.walmart.com/store/1961-alexandria-ky/?veh=seo_loc,3.7,3025
"Cabela's",(978) 212-6200,Hudson,TX,stores.cabelas.com/us/ma/hudson/44-highland-common.html?y_source=1_Mzk4Njc2My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.5,2930
"Best Buy",(334) 272-1552,Montgomery,TX,stores.bestbuy.com/al/montgomery/7701-eastchase-pkwy-836.html/?ref=NS&loc=ns100,3.9,2863
"Power Home Remodeling",(832) 940-7074,Houston,TX,powerhrg.com,4.6,2861
"Lowe's Home Improvement",(210) 334-3150,San Antonio,TX,www.lowes.com/store/TX-San-Antonio/2786?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-2786-_-na-_-0-_-0&y_source=1_MTE4Mjg0OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4,2847
"Best Buy",(432) 367-4189,Odessa,TX,stores.bestbuy.com/tx/odessa/6300-e-highway-191-1526.html/?ref=NS&loc=ns100,4.1,2829
"Grasten Power Technologies",(281) 259-6500,Conroe,TX,grastengenerators.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=houston,4.8,2808
"Lowe's Home Improvement",(956) 783-7570,Pharr,TX,www.lowes.com/store/TX-Pharr/1702?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-1702-_-na-_-0-_-0&y_source=1_MTE4NDQ5OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.2,2807
"The Home Depot",(903) 581-8513,Tyler,TX,www.homedepot.com/l/Tyler/TX/Tyler/75701/6514?emt=MSGMBGoogleMaps,4.1,2771
"Baker Home Energy",(877) 409-0341,Escondido,TX,bakerhomeenergy.com/?utm_source=GBP&utm_medium=google&utm_campaign=click,4.8,2761
"The Home Depot",(361) 993-1400,Corpus Christi,TX,www.homedepot.com/l/Corpus-Christi/TX/Corpus-Christi/78411/526?emt=MSGMBGoogleMaps,4.2,2747
"Paul Bange Roofing, Inc.",(954) 981-7663,Davie,TX,www.paulbangeroofing.com,4.9,2739
"Woods Comfort Systems",(512) 881-0056,San Marcos,TX,woodscomfortsystems.com/?utm_source=GBP&utm_medium=GBP,4.9,2650
"The Home Depot",(281) 998-9669,Pasadena,TX,www.homedepot.com/l/Pasadena/TX/Pasadena/77505/565?emt=MSGMBGoogleMaps,4.2,2609
"Spark Energy, LLC",(877) 547-7275,Houston,TX,www.sparkenergy.com,4.2,2602
"The Home Depot",(210) 520-4198,San Antonio,TX,www.homedepot.com/l/Culebra/TX/San-Antonio/78251/6818?emt=MSGMBGoogleMaps,4.1,2598
"Best Buy",(951) 845-1194,Beaumont,TX,stores.bestbuy.com/ca/beaumont/1650-e-2nd-st-1441.html/?ref=NS&loc=ns100,4.3,2595
"Best Buy",(940) 384-9581,Denton,TX,stores.bestbuy.com/tx/denton/1800-s-loop-288-827.html/?ref=NS&loc=ns100,4,2550
"The Home Depot",(956) 994-1419,Pharr,TX,www.homedepot.com/l/Mcallen/TX/Pharr/78577/506?emt=MSGMBGoogleMaps,4.2,2484
"The Home Depot",(281) 980-1777,Sugar Land,TX,www.homedepot.com/l/Kingsbridge/TX/Sugar-Land/77498/6860?emt=MSGMBGoogleMaps,4.1,2457
"Harbor Freight",(817) 281-9600,North Richland Hills,TX,www.harborfreight.com/storelocator/7523-boulevard-26-n-richland-hls-76180?number=267,4.5,2447
"The Home Depot",(210) 824-9677,San Antonio,TX,www.homedepot.com/l/Alamo-Heights/TX/San-Antonio/78209/6544?emt=MSGMBGoogleMaps,4.2,2435
"ABC Home & Commercial Services",(210) 599-9500,San Antonio,TX,www.abchomeandcommercial.com/sanantonio/pest-control?utm_source=gmb&utm_medium=organic&utm_campaign=sanantonio-pest,4.8,2419
"Sunny Service",(817) 476-3051,Hurst,TX,www.sunnyservice.com/?utm_source=GMB&utm_medium=local,4.9,2378
"The Home Depot",(408) 245-3686,Sunnyvale,TX,www.homedepot.com/l/Kifer-Rd/CA/Sunnyvale/94086/640?emt=MSGMBGoogleMaps,4,2374
"Expo Home Improvement",(972) 486-9166,Farmers Branch,TX,www.expohomeimprovement.com,4.9,2374
"Best Buy",(847) 590-9849,Arlington Heights,TX,stores.bestbuy.com/il/arlington-heights/615-e-palatine-rd-303.html/?ref=NS&loc=ns100,4.1,2350
"Lowe's Home Improvement",(940) 320-1938,Denton,TX,www.lowes.com/store/TX-Denton/0183?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-183-_-na-_-0-_-0&y_source=1_MTE4NDQ2NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,2348
"The Home Depot",(915) 585-2319,El Paso,TX,www.homedepot.com/l/West-El-Paso/TX/El-Paso/79912/523?emt=MSGMBGoogleMaps,4.3,2339
"Blain's Farm & Fleet - Rockford, Illinois",(815) 964-8320,Rockford,TX,www.farmandfleet.com/stores/blains-farm-and-fleet-of-rockford-illinois,4.4,2331
"Walmart Supercenter",(260) 244-4060,Columbia City,TX,www.walmart.com/store/1425-columbia-city-in/?veh=seo_loc,3.9,2317
"Best Buy",(360) 652-1219,Marysville,TX,stores.bestbuy.com/wa/marysville/16924-twin-lakes-ave-1415.html/?ref=NS&loc=ns100,4,2293
"TriEagle Energy",(877) 933-2453,,TX,www.trieagleenergy.com,4.2,2250
"Hart HVAC and Electric",(682) 418-5981,Weatherford,TX,www.harthvac.net/furnace-repair-weatherford-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp_weatherford,5,2235
"Elevation Solar LLC",(866) 258-4381,Gilbert,TX,www.poweredbyelevation.com,4.5,2218
"Best Buy",(972) 722-1486,Rockwall,TX,stores.bestbuy.com/tx/rockwall/995-e-i-30-1417.html/?ref=NS&loc=ns100,4.1,2209
"The Home Depot",(817) 485-4400,Richland Hills,TX,www.homedepot.com/l/North-Richland/TX/N-Richland-Hills/76180/540?emt=MSGMBGoogleMaps,4.2,2191
"Walmart Supercenter",(575) 894-0343,Truth or Consequences,TX,www.walmart.com/store/4341-truth-or-consequences-nm/?veh=seo_loc,4,2186
"Walmart Supercenter",(830) 278-9117,Uvalde,TX,www.walmart.com/store/782-uvalde-tx/?veh=seo_loc,4.2,2185
"Lowe's Home Improvement",(512) 441-0329,Austin,TX,www.lowes.com/store/TX-Austin/0689?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-689-_-na-_-0-_-0&y_source=1_MTE4MzQ3Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4,2175
"Lowe's Home Improvement",(956) 664-8040,McAllen,TX,www.lowes.com/store/TX-Mcallen/2656?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-2656-_-na-_-0-_-0&y_source=1_MTE4NDQ5Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.3,2174
"The Home Depot",(516) 997-9595,Jericho,TX,www.homedepot.com/l/Jericho/NY/Jericho/11753/1213?emt=MSGMBGoogleMaps,4.2,2169
"The Home Depot",(361) 853-9173,Corpus Christi,TX,www.homedepot.com/l/Bridgepoint/TX/Corpus-Christi/78415/6584?emt=MSGMBGoogleMaps,4.3,2157
"Power Home Remodeling",(512) 961-4491,Austin,TX,powerhrg.com,4.5,2120
"The Home Depot",(956) 668-8783,McAllen,TX,www.homedepot.com/l/N-Mcallen/TX/Mcallen/78504/516?emt=MSGMBGoogleMaps,4.3,2118
"Walmart Supercenter",(661) 772-8061,Wasco,TX,www.walmart.com/store/5859-wasco-ca/?veh=seo_loc,4.2,2103
"Lowe's Home Improvement",(512) 600-0011,Round Rock,TX,www.lowes.com/store/TX-Round-Rock/0778?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-778-_-na-_-0-_-0&y_source=1_MTE4MzQ3My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4,2065
"Lowe's Home Improvement",(817) 276-5700,Fort Worth,TX,www.lowes.com/store/TX-Ft.-Worth/2546?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-2546-_-na-_-0-_-0&y_source=1_MTE4NDE0OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,2056
"Discount Power",(877) 455-4674,Houston,TX,www.discountpowertx.com,3.6,2036
"The Home Depot",(716) 871-8800,Buffalo,TX,www.homedepot.com/l/North-Buffalo/NY/Buffalo/14207/1234?emt=MSGMBGoogleMaps,4.2,2035
"Apple Cielo Vista Mall",(915) 774-8020,El Paso,TX,www.apple.com/retail/cielovistamall?cid=aos-us-seo-maps,4.1,1926
"Best Buy",(512) 819-0478,Georgetown,TX,stores.bestbuy.com/tx/georgetown/1015-w-university-ave-691.html/?ref=NS&loc=ns100,4.1,1899
"The Home Depot",(713) 461-9898,Houston,TX,www.homedepot.com/l/Lumpkin/TX/Houston/77043/571?emt=MSGMBGoogleMaps,4.2,1895
"Airview AC",(972) 914-7452,Van Alstyne,TX,www.airviewac.com,4.9,1875
"Apple Easton Town Center",(614) 934-2810,Columbus,TX,www.apple.com/retail/easton?cid=aos-us-seo-maps,3.8,1836
"Reliant Energy",(866) 735-4268,,TX,www.reliant.com/en/areas-we-serve/lubbock-electricity.jsp,4.4,1832
"The Home Depot",(806) 468-9100,Amarillo,TX,www.homedepot.com/l/E-Amarillo/TX/Amarillo/79109/6831?emt=MSGMBGoogleMaps,4.2,1822
"LGCY Power",(855) 502-0485,Lehi,TX,www.lgcypower.com/state/ut/lehi,4.6,1809
"Harbor Freight",(903) 581-2244,Tyler,TX,www.harborfreight.com/storelocator/3819-s-southwest-loop-323-tyler-75701?number=502,4.4,1805
"Lowe's Home Improvement",(972) 731-8003,Frisco,TX,www.lowes.com/store/TX-Frisco/1059?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-1059-_-na-_-0-_-0&y_source=1_MTE4NDUyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,1779
"Best Buy",(334) 737-1770,Opelika,TX,stores.bestbuy.com/al/opelika/2147-tiger-town-pkwy-662.html/?ref=NS&loc=ns100,4.1,1754
"SunVena Solar",(407) 553-9584,Sanford,TX,sunvena.com/?utm_source=google&utm_medium=gmb&utm_campaign=solar_panel_installer,4.9,1745
"Spruce Power",(888) 636-0336,Houston,TX,www.sprucepower.com,3.7,1719
"The Home Depot",(972) 735-9333,Plano,TX,www.homedepot.com/l/West-Plano/TX/Plano/75093/551?emt=MSGMBGoogleMaps,4.3,1711
"United States Home Services",(214) 301-5784,Dallas,TX,www.unitedstateshomeservices.com,5,1700
"Medley Heating Air Conditioning Plumbing",(972) 737-5655,Carrollton,TX,www.callmedley.com/?utm_source=organic&utm_medium=gbp&utm_campaign=medley_gbp,5,1689
"Best Buy",(810) 385-9830,Fort Gratiot Township,TX,stores.bestbuy.com/mi/fort-gratiot/4611-24th-ave-415.html/?ref=NS&loc=ns100,4.2,1688
"The Home Depot",(610) 532-6884,Folsom,TX,www.homedepot.com/l/Ridley-Township/PA/Folsom/19033/4142?emt=MSGMBGoogleMaps,4.2,1688
"Direct Energy",(855) 461-1926,Houston,TX,www.directenergy.com,4,1682
"The Home Depot",(214) 575-3070,Richardson,TX,www.homedepot.com/l/Coit-Rd/TX/Richardson/75080/6504?emt=MSGMBGoogleMaps,4.3,1647
"Camping World - Lubbock",(877) 349-1343,Lubbock,TX,rv.campingworld.com/dealer/lubbock-texas,4.3,1633
"On The Way AC Plumbing & Electric",(409) 310-1464,Santa Fe,TX,www.onthewaypros.com/?utm_source=google&utm_medium=business_profile&utm_campaign=website,4.9,1628
"Suntuity Renewables",(866) 956-0725,Holmdel,TX,,4.3,1627
"The Home Depot",(361) 242-0642,Corpus Christi,TX,www.homedepot.com/l/Five-Point/TX/Corpus-Christi/78410/6564?emt=MSGMBGoogleMaps,4.2,1620
"Camping World - Tyler",(877) 848-0413,Tyler,TX,rv.campingworld.com/dealer/tyler-texas,4.2,1615
"Cirro Energy",(800) 692-4776,Plano,TX,www.cirroenergy.com,3.6,1609
"Precision",(512) 379-6385,Austin,TX,www.precisionheatac.com,4.7,1608
"Couto Construction",(508) 252-0401,New Bedford,TX,www.coutoconstruction.com/locations/new-bedford?utm_campaign=gmb,4.8,1605
"Top Tier Solar Solutions",(855) 997-1213,Charlotte,TX,www.toptiersolarsolutions.com,4.1,1601
"Window World TX",(210) 399-4366,San Antonio,TX,www.windowworldtx.com,4.8,1585
"AT Automotive",(210) 734-2050,San Antonio,TX,www.atautosa.com,4.8,1584
"The Home Depot",(956) 544-5466,Brownsville,TX,www.homedepot.com/l/Brownsville/TX/Brownsville/78521/6521?emt=MSGMBGoogleMaps,4.3,1555
"Best Buy",(740) 522-6606,Heath,TX,stores.bestbuy.com/oh/heath/701-hebron-rd-145.html/?ref=NS&loc=ns100,4.1,1540
"The Home Depot",(817) 656-5274,North Richland Hills,TX,www.homedepot.com/l/Precinct-Line/TX/North-Richland-Hills/76182/6533?emt=MSGMBGoogleMaps,4.2,1511
"Power Home Remodeling",(484) 483-6216,Coraopolis,TX,powerhrg.com,4.7,1500
"Lowe's Home Improvement",+1 989-832-6347,Midland,TX,www.lowes.com/store/MI-Midland/0575?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-575-_-na-_-0-_-0&y_source=1_MTE4NDU0NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.2,1479
"Sun City Plumbing & Heating",(575) 526-9758,Las Cruces,TX,www.youknowsuncity.com,4.9,1476
"Walmart Supercenter",(806) 364-5712,Hereford,TX,www.walmart.com/store/3384-hereford-tx/?veh=seo_loc,4.1,1465
"The Chill Brothers",(844) 512-4455,Spring,TX,thechillbrothers.com/ac-installation-and-services-in-spring-tx,4.6,1437
"The Home Depot",(301) 780-6555,Upper Marlboro,TX,www.homedepot.com/l/Upper-Marlboro/MD/Upper-Marlboro/20772/8550?emt=MSGMBGoogleMaps,3.9,1430
"Linear Roofing & General Contractors LLC",(469) 268-4091,Addison,TX,www.linearroofing.com,4.8,1427
"The Home Depot",(941) 698-4014,Port Charlotte,TX,www.homedepot.com/l/Englewood/FL/Port-Charlotte/33981/1855?emt=MSGMBGoogleMaps,4.2,1426
"Entrust Energy",(800) 871-8100,Houston,TX,,4.1,1422
"Lowe's Home Improvement",(972) 769-0343,Dallas,TX,www.lowes.com/store/TX-Dallas/0665?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-665-_-na-_-0-_-0&y_source=1_MTE4NDUyMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,1401
"Mr. Handyman of Midwest Collin County",(214) 387-3474,McKinney,TX,www.mrhandyman.com/midwest-collin-county/?cid=LSTL_MHM000197&utm_source=gmb&utm_campaign=local&utm_medium=organic,4.9,1394
"Blain's Farm & Fleet - Sterling, Illinois",(815) 625-9028,Sterling,TX,www.farmandfleet.com/stores/blains-farm-and-fleet-of-sterling-illinois,4.4,1388
"Teays Valley Service Experts",(304) 832-3915,Hurricane,TX,www.serviceexperts.com/hurricane-wv/?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,4.8,1383
"GoodCharlie",(800) 205-5230,Houston,TX,www.goodcharlie.com,4.9,1380
"Summer Moon Coffee",(210) 320-1773,San Antonio,TX,locations.summermooncoffee.com/locations/n-st-mary-street-san-antonio,4.6,1372
"Champion Energy Services",(877) 653-5090,Houston,TX,championenergyservices.com,3.8,1369
"Lowe's Home Improvement",(707) 207-2070,Fairfield,TX,www.lowes.com/store/CA-Fairfield/3164?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-3164-_-na-_-0-_-0&y_source=1_MTE4Mzg1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.1,1335
"Austin Roofing Company & Water Damage | WDR",(512) 820-6505,Austin,TX,austinroofingandwaterdamage.com,5,1329
"Tomorrow Energy",(888) 682-8082,Houston,TX,tomorrowenergy.com,4.2,1321
"W3 Electric",(972) 793-0733,Rowlett,TX,www.callw3.com,5,1302
"The Home Depot",(914) 690-9745,Port Chester,TX,www.homedepot.com/l/Port-Chester/NY/Port-Chester/10573/1212?emt=MSGMBGoogleMaps,3.9,1293
"M&M Roofing, Siding & Windows",(713) 880-8210,Houston,TX,mmroofsiding.com/locations/houston/roofing,4.9,1277
"Power Wizard",(713) 322-8533,Houston,TX,www.powerwizard.com/?utm_source=google&utm_medium=gmb&utm_campaign=houston-gmb,4.8,1261
"ESD Roofing - Solar",(800) 425-1175,Pinellas Park,TX,energysolutionsdirect.com,4.5,1261
"The Home Depot",(925) 847-9200,Pleasanton,TX,www.homedepot.com/l/Pleasanton/CA/Pleasanton/94588/629?emt=MSGMBGoogleMaps,4.1,1250
"Stream Energy",(888) 685-7693,,TX,mystream.com,4.2,1239
"Blue Hammer Roofing",(469) 564-8357,Dallas,TX,bluehammerroofing.com/areas-served/dallas/?utm_campaign=gmb&utm_medium=organic&utm_source=google,4.9,1234
"Apple Stoneridge Mall",(925) 398-1962,Pleasanton,TX,www.apple.com/retail/stoneridgemall?cid=aos-us-seo-maps,4,1226
"Apple The Greene",(937) 431-4200,Beavercreek,TX,www.apple.com/retail/thegreene?cid=aos-us-seo-maps,3.8,1226
